id,tender_title,project_type,source_name,province,city,town,event_time,purchasing_staff,bid_company,bid_amount,currency,bid_date,content,created_at,updated_at
6530,亳州市2023-2025年度工伤预防项目成交结果公告,货物,政府采购,安徽省,亳州市,"",2023-10-19 00:00:00,亳州市人力资源和社会保障局,中国人民健康保险股份有限公司安徽分公司,999000.00,人民币:元,2023-10-19,亳州市2023-2025年度工伤预防项目成交结果公告 项目:亳州市2023-2025年度工伤预防项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6531,合肥市包河区淝河镇老官塘社区居民委员会关于地垫的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,包河区,2023-10-19 00:00:00,合肥市包河区淝河镇老官塘社区居民委员会,合肥源江商贸有限公司,1082.00,人民币:元,2023-10-19,合肥市包河区淝河镇老官塘社区居民委员会关于地垫的网上超市采购项目成交公告 项目:合肥市包河区淝河镇老官塘社区居民委员会关于地垫的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6532,天长市釜山水库管理所关于台式整机的网上超市采购项目成交公告,项目管理,企业采购,安徽省,滁州市,天长市,2023-10-19 00:00:00,天长市釜山水库管理所,天长市天眼网络科技有限公司,11640.00,人民币:元,2023-10-19,天长市釜山水库管理所关于台式整机的网上超市采购项目成交公告 项目:天长市釜山水库管理所关于台式整机的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6533,合肥特殊教育中心关于一体化速印机的网上超市采购项目成交公告,货物,企业采购,安徽省,合肥市,瑶海区,2023-10-19 00:00:00,合肥特殊教育中心,合肥志洋科技有限公司,30000.00,人民币:元,2023-10-19,合肥特殊教育中心关于一体化速印机的网上超市采购项目成交公告 项目:合肥特殊教育中心关于一体化速印机的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6534,蚌埠市禹会区长青乡上洪采石场崩塌地质灾害隐患点治理工程成交结果公告,工程,招标采购,安徽省,蚌埠市,"",2023-10-19 00:00:00,蚌埠马投建设发展有限公司,中煤地华盛水文地质勘察有限公司,1632650.08,人民币:元,2023-10-19,蚌埠市禹会区长青乡上洪采石场崩塌地质灾害隐患点治理工程成交结果公告 项目:蚌埠市禹会区长青乡上洪采石场崩塌地质灾害隐患点治理工程,2026-07-29 09:19:42,2026-07-29 09:19:42
6535,合肥市公安局庐阳分局关于包装袋的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,庐阳区,2023-10-19 00:00:00,合肥市公安局庐阳分局,合肥浩璐宝商贸有限公司,1779.00,人民币:元,2023-10-19,合肥市公安局庐阳分局关于包装袋的网上超市采购项目成交公告 项目:合肥市公安局庐阳分局关于包装袋的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6536,包河区烟墩街道云川社区居民委员会关于吊挂的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,包河区,2023-10-19 00:00:00,包河区烟墩街道云川社区居民委员会,合肥良远商贸有限公司,700.00,人民币:元,2023-10-19,包河区烟墩街道云川社区居民委员会关于吊挂的网上超市采购项目成交公告 项目:包河区烟墩街道云川社区居民委员会关于吊挂的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6537,合肥市蜀山区教育体育局关于橡皮的网上超市采购项目成交公告,政府,政府采购,安徽省,合肥市,蜀山区,2023-10-19 00:00:00,合肥市蜀山区教育体育局,合肥市京墨商贸有限公司,1228.00,人民币:元,2023-10-19,合肥市蜀山区教育体育局关于橡皮的网上超市采购项目成交公告 项目:合肥市蜀山区教育体育局关于橡皮的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6538,安徽理工大学第一附属医院新网站建设项目 中标结果公告,医院,政府采购,安徽省,淮南市,田家庵区,2023-10-19 00:00:00,安徽理工大学第一附属医院,四川锐狐网络科技有限公司,92000.00,人民币:元,2023-10-19,安徽理工大学第一附属医院新网站建设项目 中标结果公告 项目:安徽理工大学第一附属医院新网站建设项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6539,中共无为县委巡查工作领导小组办公室关于打印/复印纸的网上超市采购项目成交公告,政府,政府采购,安徽省,芜湖市,无为县,2023-10-19 00:00:00,中共无为县委巡查工作领导小组办公室,无为县广伟文化用品有限公司,3230.00,人民币:元,2023-10-19,中共无为县委巡查工作领导小组办公室关于打印/复印纸的网上超市采购项目成交公告 项目:中共无为县委巡查工作领导小组办公室关于打印/复印纸的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6540,汤沟镇2023年市场化垃圾清运和道路保洁项目中标结果公告,工程,政府采购,安徽省,芜湖市,鸠江区,2023-10-19 00:00:00,芜湖市鸠江区汤沟镇人民政府,酷哇科技有限公司,3624052.31,人民币:元,2023-10-19,汤沟镇2023年市场化垃圾清运和道路保洁项目中标结果公告 项目:汤沟镇2023年市场化垃圾清运和道路保洁项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6541,霍邱县消防救援大队关于其他试验仪器及装置的网上超市采购项目成交公告,政府,政府采购,安徽省,六安市,霍邱县,2023-10-19 00:00:00,霍邱县消防救援大队,浙江军采科技股份有限公司,87000.00,人民币:元,2023-10-19,霍邱县消防救援大队关于其他试验仪器及装置的网上超市采购项目成交公告 项目:霍邱县消防救援大队关于其他试验仪器及装置的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6542,滁州市琅琊区机关事务管理服务中心关于空调扇的网上超市采购项目成交公告,项目管理,企业采购,安徽省,滁州市,琅琊区,2023-10-19 00:00:00,滁州市琅琊区机关事务管理服务中心,安徽中彗科技有限公司,799.00,人民币:元,2023-10-19,滁州市琅琊区机关事务管理服务中心关于空调扇的网上超市采购项目成交公告 项目:滁州市琅琊区机关事务管理服务中心关于空调扇的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6543,芜湖市南瑞实验学校关于田径场地辅助用具的网上超市采购项目成交公告,学校,政府采购,安徽省,芜湖市,"",2023-10-19 00:00:00,芜湖市南瑞实验学校,芜湖哲宏体育用品贸易有限公司,2220.00,人民币:元,2023-10-19,芜湖市南瑞实验学校关于田径场地辅助用具的网上超市采购项目成交公告 项目:芜湖市南瑞实验学校关于田径场地辅助用具的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6544,芜湖市医疗保障局南陵县分局关于液晶显示器的网上超市采购项目成交公告,政府,政府采购,安徽省,芜湖市,南陵县,2023-10-19 00:00:00,芜湖市医疗保障局南陵县分局,芜湖瑞脑办公设备有限公司,11400.00,人民币:元,2023-10-19,芜湖市医疗保障局南陵县分局关于液晶显示器的网上超市采购项目成交公告 项目:芜湖市医疗保障局南陵县分局关于液晶显示器的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6545,东至县消防救援大队关于碗/碟/筷的网上超市采购项目成交公告,政府,政府采购,安徽省,池州市,东至县,2023-10-19 00:00:00,东至县消防救援大队,浙江速易采贸易有限公司,1569.00,人民币:元,2023-10-19,东至县消防救援大队关于碗/碟/筷的网上超市采购项目成交公告 项目:东至县消防救援大队关于碗/碟/筷的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
6546,安徽省铜陵市义安区西联镇北埂村民委员会关于空调的网上超市采购项目成交公告,政府,政府采购,安徽省,铜陵市,义安区,2023-10-19 00:00:00,安徽省铜陵市义安区西联镇北埂村民委员会,枞阳县腾达办公用品有限公司,6099.00,人民币:元,2023-10-19,安徽省铜陵市义安区西联镇北埂村民委员会关于空调的网上超市采购项目成交公告 项目:安徽省铜陵市义安区西联镇北埂村民委员会关于空调的网上超市采购项目,2026-07-29 09:19:42,2026-07-29 09:19:42
